params,total_trades,meets_criteria,wins,losses,win_rate,avg_win,avg_loss,profit_factor,sharpe_ratio,max_drawdown,total_return,trades
"{'movement_threshold': 0.003, 'max_drawdown': 0.001, 'min_win_rate': 0.6}",0,False,,,,,,,,,,
"{'movement_threshold': 0.003, 'max_drawdown': 0.002, 'min_win_rate': 0.6}",0,False,,,,,,,,,,
"{'movement_threshold': 0.003, 'max_drawdown': 0.003, 'min_win_rate': 0.6}",0,False,,,,,,,,,,
"{'movement_threshold': 0.003, 'max_drawdown': 0.005, 'min_win_rate': 0.6}",12,False,0.0,12.0,0.0,0.0,-0.0005833333333333229,0.0,-712.7636354360399,-0.0,-0.006999999999999875,"[{'entry_price': np.float64(116217.785), 'exit_price': np.float64(116101.567215), 'direction': 'LONG', 'pnl': np.float64(-0.0010000000000000063), 'confidence': np.float64(0.6100000000000001), 'timestamp': Timestamp('2025-09-17 17:42:00+0000', tz='UTC')}, {'entry_price': np.float64(116037.945), 'exit_price': np.float64(115921.907055), 'direction': 'LONG', 'pnl': np.float64(-0.0010000000000000317), 'confidence': np.float64(0.6900000000000001), 'timestamp': Timestamp('2025-09-17 19:25:00+0000', tz='UTC')}, {'entry_price': np.float64(116015.655), 'exit_price': np.float64(115899.639345), 'direction': 'LONG', 'pnl': np.float64(-0.000999999999999962), 'confidence': np.float64(0.6900000000000001), 'timestamp': Timestamp('2025-09-17 19:26:00+0000', tz='UTC')}, {'entry_price': np.float64(116116.5995), 'exit_price': np.float64(116000.48290049999), 'direction': 'LONG', 'pnl': np.float64(-0.0010000000000000401), 'confidence': np.float64(0.6100000000000001), 'timestamp': Timestamp('2025-09-17 20:09:00+0000', tz='UTC')}, {'entry_price': np.float64(115849.05), 'exit_price': np.float64(115964.89904999999), 'direction': 'SHORT', 'pnl': np.float64(-0.000999999999999912), 'confidence': np.float64(0.62), 'timestamp': Timestamp('2025-09-17 20:16:00+0000', tz='UTC')}, {'entry_price': np.float64(117697.298730964), 'exit_price': np.float64(117579.60143223303), 'direction': 'LONG', 'pnl': np.float64(-0.001000000000000059), 'confidence': np.float64(0.6100000000000001), 'timestamp': Timestamp('2025-09-18 03:15:00+0000', tz='UTC')}, {'entry_price': np.float64(117594.991), 'exit_price': np.float64(117594.991), 'direction': 'LONG', 'pnl': 0, 'confidence': np.float64(0.6100000000000001), 'timestamp': Timestamp('2025-09-18 14:00:00+0000', tz='UTC')}, {'entry_price': np.float64(116711.0195), 'exit_price': np.float64(116827.73051949998), 'direction': 'SHORT', 'pnl': np.float64(-0.0009999999999998638), 'confidence': np.float64(0.6900000000000001), 'timestamp': Timestamp('2025-09-18 23:03:00+0000', tz='UTC')}, {'entry_price': np.float64(112688.895), 'exit_price': np.float64(112688.895), 'direction': 'SHORT', 'pnl': 0, 'confidence': np.float64(0.6900000000000001), 'timestamp': Timestamp('2025-09-22 07:52:00+0000', tz='UTC')}, {'entry_price': np.float64(112699.5105), 'exit_price': np.float64(112699.5105), 'direction': 'SHORT', 'pnl': 0, 'confidence': np.float64(0.6900000000000001), 'timestamp': Timestamp('2025-09-22 07:53:00+0000', tz='UTC')}, {'entry_price': np.float64(112899.399), 'exit_price': np.float64(112899.399), 'direction': 'LONG', 'pnl': 0, 'confidence': np.float64(0.7), 'timestamp': Timestamp('2025-09-22 13:53:00+0000', tz='UTC')}, {'entry_price': np.float64(113245.4445), 'exit_price': np.float64(113245.4445), 'direction': 'LONG', 'pnl': 0, 'confidence': np.float64(0.6100000000000001), 'timestamp': Timestamp('2025-09-22 13:59:00+0000', tz='UTC')}]"
"{'movement_threshold': 0.005, 'max_drawdown': 0.001, 'min_win_rate': 0.6}",0,False,,,,,,,,,,
"{'movement_threshold': 0.005, 'max_drawdown': 0.002, 'min_win_rate': 0.6}",0,False,,,,,,,,,,
"{'movement_threshold': 0.005, 'max_drawdown': 0.003, 'min_win_rate': 0.6}",0,False,,,,,,,,,,
"{'movement_threshold': 0.005, 'max_drawdown': 0.005, 'min_win_rate': 0.6}",0,False,,,,,,,,,,
"{'movement_threshold': 0.007, 'max_drawdown': 0.001, 'min_win_rate': 0.6}",0,False,,,,,,,,,,
"{'movement_threshold': 0.007, 'max_drawdown': 0.002, 'min_win_rate': 0.6}",0,False,,,,,,,,,,
"{'movement_threshold': 0.007, 'max_drawdown': 0.003, 'min_win_rate': 0.6}",0,False,,,,,,,,,,
"{'movement_threshold': 0.007, 'max_drawdown': 0.005, 'min_win_rate': 0.6}",0,False,,,,,,,,,,
"{'movement_threshold': 0.01, 'max_drawdown': 0.001, 'min_win_rate': 0.6}",0,False,,,,,,,,,,
"{'movement_threshold': 0.01, 'max_drawdown': 0.002, 'min_win_rate': 0.6}",0,False,,,,,,,,,,
"{'movement_threshold': 0.01, 'max_drawdown': 0.003, 'min_win_rate': 0.6}",0,False,,,,,,,,,,
"{'movement_threshold': 0.01, 'max_drawdown': 0.005, 'min_win_rate': 0.6}",0,False,,,,,,,,,,
